City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Mar Del Plata,AR,-38.0023,-57.5575,56.08,65,0,11.5,clear sky
80,Honningsvag,NO,70.9821,25.9704,44.35,76,77,6.91,broken clouds
81,Avarua,CK,-21.2078,-159.775,75.25,73,75,11.5,broken clouds
82,Tiksi,RU,71.6872,128.8694,19.04,93,100,5.14,overcast clouds
83,Aripuana,BR,-9.1667,-60.6333,75.06,74,78,2.75,broken clouds
84,Qiqihar,CN,47.3408,123.9672,49.26,58,83,11.74,broken clouds
85,Tasiilaq,GL,65.6145,-37.6368,35.76,82,99,6.38,overcast clouds
86,Upernavik,GL,72.7868,-56.1549,18.93,86,15,8.28,few clouds
87,Ponta Do Sol,PT,32.6667,-17.1,71.01,76,31,4.74,scattered clouds
88,Dikson,RU,73.5069,80.5464,34.66,77,68,17.74,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,75,14.97,broken clouds
90,Nizhnyaya Tavda,RU,57.6731,66.1725,22.64,91,14,3.2,few clouds
91,Mutis,CO,6.2262,-77.4044,80.15,81,100,7.2,light rain
92,Hobart,AU,-42.8794,147.3294,51.26,85,40,11.5,scattered clouds
93,Jackson,US,42.4165,-122.8345,78.39,40,20,4.0,few clouds
94,Sao Filipe,CV,14.8961,-24.4956,80.26,82,9,12.39,clear sky
95,Barinas,VE,8.6226,-70.2075,86.04,62,100,3.44,overcast clouds
96,Dunedin,NZ,-45.8742,170.5036,46.8,65,20,11.99,few clouds
97,Vao,NC,-22.6667,167.4833,74.35,80,100,24.2,overcast clouds
98,Bara,NG,10.3744,10.7288,73.22,88,21,4.29,few clouds
99,Pitsunda,GE,43.1592,40.3378,64.58,69,0,7.05,clear sky
100,Yangambi,CD,0.8102,24.4336,69.37,96,71,1.05,broken clouds
101,Vuktyl,RU,63.8567,57.3094,27.21,74,2,5.86,clear sky
102,Guasdualito,VE,7.2424,-70.7324,89.6,62,40,2.3,scattered clouds
103,Krasnoselkup,RU,65.7,82.4667,26.24,83,52,8.16,broken clouds
104,Bengkulu,ID,-3.8004,102.2655,73.89,90,98,4.29,overcast clouds
105,Mareeba,AU,-17.0,145.4333,74.12,84,9,3.87,clear sky
106,East London,ZA,-33.0153,27.9116,66.27,90,100,17.78,light rain
107,Victoria,HK,22.2855,114.1577,83.32,87,95,8.99,moderate rain
108,Aswan,EG,24.0934,32.907,89.91,19,0,9.17,clear sky
109,Tigil,RU,57.8,158.6667,39.78,91,100,8.95,light rain
110,Te Anau,NZ,-45.4167,167.7167,43.47,68,9,5.44,clear sky
111,Lewistown,US,40.5992,-77.5714,62.19,78,0,8.05,clear sky
112,Udachnyy,RU,66.4167,112.4,20.01,96,100,8.01,light snow
113,Arica,CL,-18.475,-70.3042,63.95,72,75,11.5,broken clouds
114,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,60,75,16.11,broken clouds
115,San Andres,CO,12.5847,-81.7006,84.22,79,40,5.75,scattered clouds
116,Santa,PH,17.486,120.4348,76.06,85,84,5.14,broken clouds
117,Vaini,TO,-21.2,-175.2,78.96,69,20,10.36,few clouds
118,Marzuq,YE,14.4,46.4667,76.1,49,8,3.87,clear sky
119,Boa Vista,BR,2.8197,-60.6733,87.78,51,40,6.91,scattered clouds
120,Porbandar,IN,21.6422,69.6093,78.94,73,12,7.2,few clouds
121,Cape Town,ZA,-33.9258,18.4232,61.09,87,0,4.61,clear sky
122,Chubbuck,US,42.9208,-112.4661,73.83,33,40,14.97,scattered clouds
123,Perumpavur,IN,10.1333,76.4833,76.91,94,20,2.3,mist
124,Campos,BR,-21.75,-41.3,69.85,100,100,9.22,overcast clouds
125,Namtsy,RU,62.7161,129.6658,24.03,91,83,8.52,broken clouds
126,Nyurba,RU,63.2842,118.3319,23.47,95,91,3.96,overcast clouds
127,Manadhoo,MV,5.7667,73.3833,80.46,77,100,11.21,light rain
128,Praia,CV,14.9215,-23.5087,81.14,78,20,4.61,few clouds
129,Harlingen,US,26.1906,-97.6961,89.56,31,0,12.66,clear sky
