City ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
241,Padang,ID,76.59,overcast clouds,-0.9492,100.3543,Mercure Padang
248,Wanning,CN,77.99,overcast clouds,18.8003,110.3967,Paradise Hotel
262,Monywa,MM,80.22,overcast clouds,22.1167,95.1333,Monywa Hotel
268,Trairi,BR,77.94,broken clouds,-3.2778,-39.2689,janelas do mar
270,Meulaboh,ID,75.04,moderate rain,4.1363,96.1285,Kost Pria
279,Marsaxlokk,MT,76.08,few clouds,35.8419,14.5431,Water's Edge
281,Balarampur,IN,75.22,broken clouds,23.1167,86.2167,Ashok general store
291,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
297,Teluk Nibung,ID,75.43,overcast clouds,3.001,99.8164,Hotel Assyifa
298,Namatanai,PG,84.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
301,Mehran,IR,81.36,clear sky,33.1222,46.1646,بوتیک زنانه بهار
308,Port Said,EG,80.78,clear sky,31.2565,32.2841,Aracan Hotel
309,Chabahar,IR,78.89,few clouds,25.2919,60.643,هتل گدروشیا
312,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
317,Jacqueville,CI,76.12,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
322,Faanui,PF,78.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
326,San Fernando,PH,80.33,overcast clouds,15.0286,120.6898,Maharlika Hostel
334,Bujaru,BR,75.51,broken clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
335,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
336,Naliya,IN,78.48,broken clouds,23.2667,68.8333,jadeja jayendrasinh
340,Coahuayana,MX,84.18,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
341,Cukai,MY,75.15,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
351,Maragogi,BR,75.09,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
356,Lompoc,US,83.01,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
358,Jalu,LY,87.89,clear sky,29.0331,21.5482,صاحبة الفخامة
359,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
363,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
364,Riachao Das Neves,BR,83.07,clear sky,-11.7461,-44.91,Casa Costa
371,Malangwa,NP,77.45,clear sky,26.8568,85.5581,Prem Meat House
373,Champerico,GT,84.74,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
375,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
378,Sur,OM,79.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
379,Dauphin,CA,75.34,clear sky,51.1494,-100.0502,Canway Inn & Suites
387,Beldanga,IN,79.32,scattered clouds,23.9333,88.25,Tanmoy's house
390,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
394,Sao Jose Da Coroa Grande,BR,75.27,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
395,Limon,CR,84.09,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
397,Mana,GF,80.15,scattered clouds,5.6592,-53.7767,LE SAMANA
401,Bonfim,BR,79.75,overcast clouds,3.0833,-59.95,
403,Catia La Mar,VE,82.99,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
410,Basco,PH,83.89,broken clouds,20.4487,121.9702,Nathaniel's Lodge
412,Boulsa,BF,80.35,clear sky,12.6675,-0.5758,Auberge Relwende
427,Honiara,SB,85.8,clear sky,-9.4333,159.95,Heritage Park Hotel
432,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
439,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
440,Phan Thiet,VN,76.71,overcast clouds,10.9333,108.1,Hotel Saigon-PT
446,Phuket,TH,86.13,light rain,8.0,98.25,The Surin
447,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
449,Anloga,GH,77.34,few clouds,5.7947,0.8973,Pin Drop Hotel
452,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
454,Guilin,CN,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
461,Iracoubo,GF,80.17,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
